subject_id,chapter_name,order_index,batch
49a2b95f-76d9-4a69-9801-2ec82fa6636c,SOLVING PROBLEM QUADRATIC EQUATIONS,6,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,RATIO AND PROPORTION,7,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,REMAINDER AND FACTOR THEOREM (FACTORISATION  OF POLYNOMIAL),8,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,MATRICES,9,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,ARITHMETIC  PROGRESSION,10,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,GEOMETRIC PROGRESSION,11,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,REFLECTION,12,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,SECTION  AND MID POINT FORMULA,13,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,EQUATION OF A STRAIGHT LINE,14,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,SIMILARITY,15,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,LOCUS,16,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,CIRCLES,17,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,CONSTRUCTIONS,18,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,MENSURATION,19,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,TRIGONOMETRY IDENTITIES,20,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,HIGHT & DISTANCE,21,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,GRAPHICAL REPRESENTATION,22,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,PROBABILITY,23,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,"STRUCTURE OF CHROMOSOMES,CELL CYCLE AND CELL DIVISION",1,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,GENETICS,2,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,ABSORPTION BY ROOTS,3,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,TRANSPIRATION,4,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,PHOTOSYNTHESIS,5,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,CHEMICAL COORDINATION IN PLANTS,6,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,THE CIRCULATORY SYSTEM,7,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,THE EXCRETORY SYSTEM,8,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,THE NERVOUS SYSTEM,9,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,SENSE ORGANS,10,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,THE ENDOCRINE SYSTEM,11,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,THE REPRODUCTIVITY SYSTEM,12,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,HUMAN EVOLUTION,13,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,POPULATION- THE INCREASING NUMBERS & RISING PROBLEMS,14,ICSE 10
2321c97a-7ff4-414f-8442-ca8634b0ff4a,POLLUTION - A RISING ENVIRONMENTAL PROBLEM,15,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,EMAIL & NOTICE WRITING,1,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,FORMAL & INFORMAL LETTER WRITING,2,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,SUBJECT VERB,3,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,PREPOSITION,4,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,SYNTHESIS,5,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,TRANSFORMATION OF SENTENCES,6,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,COMPREHENSION,7,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,DEGREES  OF COMPARISON,8,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,STORY WRITING,9,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,ARGUMENTATIVE ESSAY,10,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,DESCRIPTIVE ESSAY,11,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,NARRATIVE ESSAY,12,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,PICTURE COMPOSTION,13,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,ARTICLES,14,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,TENSES,15,ICSE 10
96b8754c-92a9-492d-a81e-7497608c926b,GRID WRITNG,16,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,"THE FIRST WAR IF INDEPENDENCE,1857",1,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,GROWTH OF NATIONALISM,2,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,FIRST PHASE OF THE INDIAN NATIONAL MOVEMENT,3,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,SECOND PHASE OF THE INDIAN NATIONAL MOVEMENT,4,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,THE MUSLIM LEAGUE,5,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,MAHATMA GANDHI,6,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,QUIT INDIA MOVEMENT,7,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,FORWARD BLOC AND THE INA,8,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,INDEPENDENCE AND PARTITION OF INDIA,9,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,THE FIRST WORLD WAR,10,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,RISE OF DICTATORSHIP,11,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,THE SECOND WORLD WAR,12,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,UNITED NATIONS,13,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,MAJOR AGENCIES OF THE UNITED NATIONS,14,ICSE 10
c948f97c-5086-4252-b1ea-dec6a3f299a3,NON-ALIGNED MOVEMENT,15,ICSE 10
65d1592a-2fff-43a2-b6fe-9bf759e71db9,THE UNION PARLIAMENT,1,ICSE 10
65d1592a-2fff-43a2-b6fe-9bf759e71db9,THE PRESIDENT AND VICE PRESIDENT,2,ICSE 10
65d1592a-2fff-43a2-b6fe-9bf759e71db9,PRIME MINISTER AND COUNCIL OF MINISTERS,3,ICSE 10
65d1592a-2fff-43a2-b6fe-9bf759e71db9,THE SUPREME COURT,4,ICSE 10
65d1592a-2fff-43a2-b6fe-9bf759e71db9,THE HIGH COURTS AND SUBORDINATE COURTS,5,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,INTERPRETATION OF TOPOGRAPHICAL MAPS,1,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,MAP OF INDIA,2,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,CLIMATE,3,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,SOIL RESOURCES,4,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,NATURAL VEGETATION,5,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,WATER RESOURCES,6,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,MINERAL RESOURCES,7,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,CONVENTIONAL SOURCES OF ENERGY,8,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,NON-CONVENTIONAL SOURCES OF ENERGY,9,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,AGRICULTURE-I,10,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,AGRICULTURE-II : FOOD CROPS,11,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,AGRICULTURE-III : CASH CROPS (1),12,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,AGRICULTURE-IV : CASH CROPS (2),13,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,MANUFACTURING INDUSTRIES AGRO- BASED,14,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,MINERAL BASED INDUSTRY,15,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,TRANSPORT,16,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,IMPACT OF WASTE ACCUMULATION,17,ICSE 10
b16ad68f-debe-479b-a009-444282413ff3,NEED FOR WASTE MANAGEMENT,18,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,STAKEHOLDERS IN COMMERCIAL ORGANISATIONS,1,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,MARKETING AND SALES,2,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,ADVERTISING AND SALES PROMOTION,3,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,CONSUMER PROTECTION,4,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,E-COMMERCE,5,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,CAPITAL AND REVENUE EXPENDITURE&INCOME,6,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,FINAL ACCOUNTS OF SOLE PROPRIETORSHIP,7,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,FUNDAMENTAL CONCEPTS OF COST,8,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,BUDGETING,9,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,SOURCES OF FINANCE,10,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,RECRUITMENT SELECTION AND TRAINING,11,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,"INDUSTRIAL RELATIONS, TRADE UNIONS AND SOCIAL SECURITY",12,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,LOGISTICS AND INSURANCE,13,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,BANKING,14,ICSE 10
49a2b95f-76d9-4a69-9801-2ec82fa6636c,STRIVING FOR BETTER ENVIRONMENT,15,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,FACTORS OF PRODUCTION,1,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,ELEMENTARY THEORY OF DEMAND,2,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,ELASTICITY OF DEMAND,3,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,THEORY OF SUPPLY,4,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,MEANING AND TYPES OF MARKET,5,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,MEANING AND FUNCTION OF MONEY,6,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,COMMERCIAL BANK,7,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,CENTRAL BANK,8,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,INTRODUCTION TO PUBLIC FINANCE,9,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,PUBLIC REVENUE,10,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,PUBLIC EXPENDITURE,11,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,PUBLIC DEBT,12,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,INFLATION,13,ICSE 10
83008b2d-750a-48da-a7d3-4a9b204bfcff,CONSUMER AWARENESS,14,ICSE 10
