Chapter_Name,Subject,TASK_1,TASK_2,TASK_3,TASK_4,TASK_5,TASK_6,TASK_7,TASK_8,TASK_9,TASK_10,TASK_11
PERIODIC TABLE,CHEMISTRY,READ CLASS NOTES,MAKE LIST OF ALL TRENDS AND EXCEPTIONS,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,
CHEMICAL BONDING,CHEMISTRY,READ CLASS NOTES,DRAW ALL 10 STRUCTURES 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,
"ACID, BASES AND SALTS",CHEMISTRY,READ CLASS NOTES,WRITE ALL DEFINITIONS,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,
ANALYTICAL CHEMISTRY,CHEMISTRY,READ CLASS NOTES,WRITE TEST FOR EVERY ION ONCE,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,
MOLE CONCEPT,CHEMISTRY,MAKE FORMULA LIST,SOLVE ALL TEXTBOOK SOLVED EXAMPLES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,
ELECTROLYSIS,CHEMISTRY,READ CLASS NOTES,MAKE LIST OF ALL ELECTROLYSIS PROCESS WITH OBSERVATION AT ELECTRODES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,
METALLURGY,CHEMISTRY,READ CLASS NOTES,PRACTISE REACTIONS OF BAYERS AND HALLS PROCESS,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,
HYDROGEN CHLORIDE,CHEMISTRY,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,
AMMONIA,CHEMISTRY,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,
NITRIC ACID,CHEMISTRY,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,
SULPHURIC ACID,CHEMISTRY,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,,
ORGANIC CHEMISTRY,CHEMISTRY,MAKE LIST OF TRICIAL NAMES 3 TIMES,READ CLASS NOTES,PRACTISE ALL REACTIONS 3 TIMES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,,,
PRACTICAL CHEMISTRY,CHEMISTRY,WRITE  ALL TESTS THREE TIMES,READ CLASS NOTES,SOLVE BOOK BACK QUESTIONS,SOLVE DREAM 90 LWS,DREAM 90 MCQ AND AR,DREAM 90 PP SUBJECTIVE,DREAM 90 PP MCQ,READ ALL DREAM 90 SOLVED QUESTIONS,,,
GOODS AND SERVICE TAX,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
BANKING,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
SHARES AND DIVIDENDS,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
LINEAR INEQUALITIES,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
QUADRATIC EQUATIONS,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
SOLVING PROBLEM QUADRATIC EQUATIONS,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
RATIO AND PROPORTION,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
REMAINDER AND FACTOR THEOREM (FACTORISATION  OF POLYNOMIAL),MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
MATRICES,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
ARITHMETIC  PROGRESSION,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
GEOMETRIC PROGRESSION,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
REFLECTION,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
SECTION  AND MID POINT FORMULA,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
EQUATION OF A STRAIGHT LINE,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
SIMILARITY,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
LOCUS,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
CIRCLES,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
CONSTRUCTIONS,MATHS,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER,
MENSURATION,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
TRIGONOMETRY IDENTITIES,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
HIGHT & DISTANCE,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
GRAPHICAL REPRESENTATION,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
PROBABILITY,MATHS,MAKE SUMMARY OF CHAPTER,SOLVED EXAMPLE FROM TEXTBOOK,BOOK BACK QUESTIONS,SOLVE MISCELLENOUS AND BOARD QUESTIONS,SOLVE TEST PAPER 1,SOLVE TEST PAPER 2,SOLVE TEST PAPER 3,SOLVE TEST PAPER 4,SOLVE TEST PAPER 5,DO ALL MCQ AND AR FROM D90,SOLVE MCQ PRACTISE PAPER
"STRUCTURE OF CHROMOSOMES,CELL CYCLE AND CELL DIVISION",BIOLOGY,textbook theory reading,revision (shortcut notes),DIAGRAM PRACTICE,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
GENETICS,BIOLOGY,CLASS NOTES,REVISE DEFINITIONS,Practice Monohybrid & dihybrid cross,PRACTICE WORD PROBLEMS (sex linked inheritence),DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
ABSORPTION BY ROOTS,BIOLOGY,textbook theory reading,revision (shortcut notes),SOLVE GIVE REASONS,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
TRANSPIRATION,BIOLOGY,textbook theory reading,REVISE EXPERIMENTS,DIAGRAM PRACTICE,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
PHOTOSYNTHESIS,BIOLOGY,textbook theory reading,REVISE EXPERIMENTS,DIAGRAM PRACTICE,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
CHEMICAL COORDINATION IN PLANTS,BIOLOGY,textbook theory reading,Revise activities,revise textbook markings,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
THE CIRCULATORY SYSTEM,BIOLOGY,textbook theory reading,revision (shortcut notes),DIAGRAM PRACTICE,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
THE EXCRETORY SYSTEM,BIOLOGY,textbook theory reading,REVISE CLASS NOTES,DIAGRAM PRACTICE,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
THE NERVOUS SYSTEM,BIOLOGY,textbook theory reading,Textbook markings,DIAGRAM PRACTICE,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
SENSE ORGANS,BIOLOGY,textbook theory reading,revision (shortcut notes),DIAGRAM PRACTICE,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
THE ENDOCRINE SYSTEM,BIOLOGY,textbook theory reading,revision (shortcut notes),revise textbook markings,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
THE REPRODUCTIVITY SYSTEM,BIOLOGY,textbook theory reading,revise textbook markings,Diagrams & process practice,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
HUMAN EVOLUTION,BIOLOGY,textbook theory reading,revise textbook markings,SOLVE PYQ,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
POPULATION- THE INCREASING NUMBERS & RISING PROBLEMS,BIOLOGY,textbook theory reading,revise textbook markings,SOLVE PYQ,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
POLLUTION - A RISING ENVIRONMENTAL PROBLEM,BIOLOGY,textbook theory reading,revise textbook markings,SOLVE PYQ,TEXTBOOK QUESTIONS,DREAM 90 LWS,"DREAM 90 MCQ'S, A&R, OBJECTIVES",PYQ - OBJECTIVE & SUBJECTIVE,DREAM 90 - SA - 20 MKS,RECTIFY MISTAKES & FINAL REVISION,,
EMAIL & NOTICE WRITING,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Write 5 topics from Dream 90 to build confidence,Solve the questions from Board Papers,Solve similar questions from Total English,Solve all worksheets given by teacher,,,,,
FORMAL & INFORMAL LETTER WRITING,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Write 5 topics from Dream 90 to build confidence,Solve the questions from Board Papers,Solve similar questions from Total English,Solve all worksheets given by teacher,,,,,
SUBJECT VERB,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
PREPOSITION,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
SYNTHESIS,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
TRANSFORMATION OF SENTENCES,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
COMPREHENSION,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
DEGREES  OF COMPARISON,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve a mixed bag question set from Prelim Papers,,,,,
STORY WRITING,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
ARGUMENTATIVE ESSAY,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
DESCRIPTIVE ESSAY,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
NARRATIVE ESSAY,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
PICTURE COMPOSTION,LANGUAGE,Write down Board Approved Format,Write down 2 Specimens and get it checked,Solve topics from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
ARTICLES,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
TENSES,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
GRID WRITNG,LANGUAGE,Understand the topic in class,Solve worksheets given by the teacher on the topic,Solve questions from Dream 90,Solve similar questions from Board Papers,Solve similar questions from Total English,Solve Questions from Prelim Papers,,,,,
"THE FIRST WAR IF INDEPENDENCE,1857",HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
GROWTH OF NATIONALISM,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
FIRST PHASE OF THE INDIAN NATIONAL MOVEMENT,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
SECOND PHASE OF THE INDIAN NATIONAL MOVEMENT,HISTORY,TEXTBOOK READING,TEXTUAL QUESTION,DREAM 90 MCQ,DREAM 90 2 MARK QUESTION,DREAM 90 SOLVE 10 MARK BRIEF QUESTION,DREAK 90 LW,DREAM 90 TEST PAPER,,,,
